replicate,absolute_reduction_task_minus_gold,relative_reduction,goal_success_difference_gold_minus_task
53,0.03732535552829408,0.13232061433211745,0.0
54,-0.03568491599905449,-0.15149424488266097,0.0
55,0.027167195463230154,0.09444242713085056,0.0
56,-0.003281387253383672,-0.012446126396793131,0.0
57,-0.006230832720919288,-0.02443326538877339,0.0
58,-0.05238881426999298,-0.2330029361010685,0.0
59,0.0006373188178246947,0.002416409263459037,0.0
60,0.010346030094443182,0.03931963318674929,0.0
61,-0.03745397298923467,-0.16415895285994075,0.0
62,-0.00018329215624129924,-0.0007056748015290021,0.0
63,-0.03743854612504255,-0.15381868287321462,0.0
64,-0.007633683438215466,-0.029683591348600904,0.0
65,-0.03684324217180995,-0.15428388134796908,0.0
66,0.06480230676523485,0.20467578977326636,0.0
67,0.018238726955091433,0.0669232028430914,0.0
68,0.014308858059819352,0.05287987874194778,0.0
69,-0.040296584020038495,-0.17046615017237812,0.0
70,-0.017655053171030166,-0.06784117653682889,0.0
71,-0.06068539560726863,-0.2686361360520713,0.0
72,-0.04297533506704079,-0.19114729185034937,0.0
73,-0.00574152654011173,-0.022952452113978165,0.0
74,-0.003188578649424789,-0.012647166531843631,0.0
75,-0.033861562482245755,-0.15027423247562585,0.0
76,-0.036054863184567854,-0.16203753351206432,0.0
77,0.05017451604648532,0.16390686395412096,0.0
78,0.09348406443265744,0.2713743756499832,0.0
79,-0.060908849059622266,-0.26962633182943035,0.0
80,-0.03694908151148987,-0.1691446842525981,0.0
81,-0.025374711087245816,-0.10019301126379167,0.0
82,-0.0007456304709194672,-0.002791567738686298,0.0
83,0.016323987705299192,0.06124246623370113,0.0
84,-0.004640030509789672,-0.018315050005190923,0.0
85,-0.023548128335253743,-0.09504730488480052,0.0
86,-0.008726851470580166,-0.03523062260345326,0.0
87,-0.008852963987884876,-0.03451834334487363,0.0
88,0.004730878256297255,0.017809433435815446,0.0
89,-0.010852667463545074,-0.041707053450019155,0.0
90,-0.025956024809870748,-0.10165614751051208,0.0
91,-0.02196445948976475,-0.09862914139642122,0.0
92,-0.02840873652866066,-0.11910600661836795,0.0
93,-0.024007824138411682,-0.10743420084672184,0.0
94,0.045508504758531215,0.15412339761257243,0.0
95,0.010842082708377998,0.04145502212026882,0.0
96,0.031987023801132164,0.11193710405598381,0.0
97,-0.02101329280162126,-0.087239302244998,0.0
98,-0.054955097113407736,-0.245718767553053,0.0
99,-0.03385156734329167,-0.1475143866596841,0.0
100,-0.014619127151516531,-0.05721478877135526,0.0
101,-0.036737853826147554,-0.1543795319125567,0.0
102,-0.03731625852640816,-0.1591856979577753,0.0
103,0.00014480373420733272,0.0005516571327414303,0.0
104,0.08597567205380996,0.26295932236299213,0.0
105,0.00018930485536158836,0.0007792047041594964,0.0
106,-0.023864412568305987,-0.10560231733170997,0.0
107,-0.0026980968698759877,-0.011244884326266632,0.0
108,0.05984710529896514,0.20096421311109317,0.0
109,-0.017662514618233566,-0.07087571196979904,0.0
110,0.052995775578322774,0.18594207465842558,0.0
111,-0.042998064006994546,-0.18779786848904734,0.0
112,0.058137674431876674,0.18927042898377627,0.0
113,0.035710600474879534,0.13291606549633128,0.0
114,-0.03773762127667599,-0.1551034290749506,0.0
115,0.026120638163024346,0.08982884740527038,0.0
116,0.022068657543228953,0.07392658656895891,0.0
117,0.0495047363841023,0.16046023789246266,0.0
118,0.007187340588807933,0.02766588523539993,0.0
119,0.038134689017169765,0.13166122062573485,0.0
120,0.0395171690484894,0.13471377542868335,0.0
121,-0.010826907238552452,-0.04153595322426486,0.0
122,0.047634130187455714,0.1617133209548656,0.0
123,0.014058201980646556,0.050664597344832855,0.0
124,-0.02056431306080675,-0.08526299836660922,0.0
125,-0.01996359947487769,-0.07904778781971773,0.0
126,0.0018274369365831045,0.0070338690714566495,0.0
127,-0.04850607605603133,-0.21967835215106357,0.0
128,-0.05007445787336176,-0.22403070669899208,0.0
129,0.05589794587994201,0.17681000654798065,0.0
130,0.05667505185577476,0.17907742079428832,0.0
131,-0.03903852131596447,-0.17153139353317043,0.0
132,-0.060903017939813064,-0.26647957659885335,0.0
133,0.003030003085476407,0.011288712503225091,0.0
134,-0.02155464366200499,-0.08802570759173606,0.0
135,0.11873159123994581,0.348302546736146,0.0
136,0.051712023921019895,0.17971866129296638,0.0
137,0.005431414154021708,0.02103281107479932,0.0
138,-0.02862837281624442,-0.11237554977111579,0.0
139,0.06566746955960276,0.21232037825153507,0.0
140,-0.03574121862442878,-0.1658102750508973,0.0
141,-0.015129478648194639,-0.06078490539245258,0.0
142,-0.027726040034674465,-0.1160274501451051,0.0
143,-0.009594081122582643,-0.03859085052785416,0.0
144,-0.0017905198739949224,-0.0071814248487599465,0.0
145,-0.045727998285466503,-0.19496907166913968,0.0
146,-0.026992208994490313,-0.11065821767607573,0.0
147,0.01268934506013708,0.04506040754066241,0.0
148,-0.0006026705441061764,-0.0022722762320703327,0.0
149,-0.013252396763909546,-0.05578857449825195,0.0
150,-0.02951702673941317,-0.12209970085376766,0.0
151,0.00296387855198621,0.012252397208149381,0.0
152,0.01075228071673573,0.040558323686815445,0.0
153,-0.00011862558859493388,-0.0004664174141464733,0.0
154,-0.0555956165548917,-0.25964819284764135,0.0
155,-0.027713562483346638,-0.11434385498935806,0.0
156,-0.0438965220269317,-0.18554310407968935,0.0
157,0.06740472667634617,0.20737435049229946,0.0
158,-0.0052970299729102055,-0.02028360472885593,0.0
159,0.030760282974023445,0.11827545425223099,0.0
160,0.04830323075455273,0.16127445109657215,0.0
161,-0.0066600531693746245,-0.02588947007693283,0.0
162,0.03722796451472707,0.13232069055838228,0.0
163,0.07307717048695239,0.21396776765590364,0.0
164,0.05931658318964336,0.19969500958278044,0.0
165,0.023241906545980406,0.0823012966737729,0.0
166,-0.010774699369545893,-0.040010207505731685,0.0
167,-0.02226896018840993,-0.10124214680401582,0.0
168,-0.0006938128167977564,-0.002682850962150203,0.0
169,0.04320361433747444,0.14266735698388897,0.0
170,0.07488572410472316,0.22807428788011316,0.0
171,-0.015128054013718556,-0.06311292267708735,0.0
172,-0.04475014971453389,-0.20170872625049038,0.0
173,0.04662062517306781,0.1579564129670749,0.0
174,-0.009700476667147573,-0.03773542151454132,0.0
175,-0.020550535238705647,-0.08143827213899539,0.0
176,0.01143645820141892,0.04166319473377225,0.0
177,-0.029852069384584123,-0.12149432576039178,0.0
178,0.07980057812178301,0.2540638887792911,0.0
179,0.00665145385027166,0.02480592310084609,0.0
180,-0.06256833568661524,-0.28885174661541024,0.0
181,0.05349395177154792,0.17585932157313156,0.0
182,0.04652082630212645,0.15636303074938596,0.0
183,0.013343002515132207,0.04980506879410734,0.0
184,-0.004719577355600857,-0.01817314904103718,0.0
185,0.05981152993348113,0.20560213414634138,0.0
186,0.024847216480887446,0.08860411664248374,0.0
187,-0.011231713452057562,-0.04578144070132159,0.0
188,0.05513308581330567,0.18031695452726207,0.0
189,-0.04378346770901101,-0.191678005581052,0.0
190,0.03185151203758074,0.11252826528918763,0.0
191,-0.041421200294845334,-0.17704813931336547,0.0
192,0.011949423990980035,0.043048730468041925,0.0
193,0.04266346645767344,0.1414287389606055,0.0
194,0.010695496774789565,0.04190001233608037,0.0
195,-0.019051827603562443,-0.07586951205248449,0.0
196,-0.0006500668239545204,-0.002437935058281198,0.0
197,-0.01995877955749145,-0.08107955052851443,0.0
198,-0.02886817850339088,-0.1278927442999061,0.0
199,-0.02005365155151992,-0.08875307503075026,0.0
200,-0.026511310246992492,-0.11640174524374833,0.0
201,-0.004894876934802783,-0.01931367026695502,0.0
202,-0.043454308606170805,-0.17708019204350178,0.0
203,-0.012305164035246896,-0.04691343788437879,0.0
204,0.08299513844853099,0.25571475089547385,0.0
205,-0.008820826412574312,-0.03515134852329671,0.0
206,-0.006073600273475865,-0.023717617543905185,0.0
207,-0.04340948293996383,-0.19381257396171842,0.0
208,0.02436688294647832,0.08945389692614616,0.0
209,0.04919614698452296,0.1626289807780805,0.0
210,0.027261735243068685,0.09259444163917664,0.0
211,-0.012348995461675005,-0.05063397637919877,0.0
212,0.006887555178992921,0.026306525037936387,0.0
213,-0.009431443777984272,-0.03743796109993287,0.0
214,-0.02356472383946767,-0.09442802017011566,0.0
215,0.018085436069745026,0.06849729729729717,0.0
216,0.012460976388567968,0.04442033833631766,0.0
217,-0.006770300176459687,-0.02745995875766866,0.0
218,0.0016886964974932028,0.0061721474925345455,0.0
219,-0.027077250200792102,-0.12268378277573085,0.0
220,0.04589065273740117,0.15415513144033127,0.0
221,-0.03277206026760937,-0.1345192509901511,0.0
222,-0.01056335994073651,-0.042484399301351096,0.0
223,-0.0032739309313954412,-0.012294311433922947,0.0
224,-0.018037569976013273,-0.07325594825594814,0.0
225,-0.010871854644402823,-0.04058180040984217,0.0
226,-0.012209905504758478,-0.04895494580184155,0.0
227,-0.009212305118348751,-0.03892979126549384,0.0
228,-0.014574490194967038,-0.060545678973951196,0.0
229,0.10895333572025304,0.30410393071285813,0.0
230,0.01628513190709402,0.06084534693458585,0.0
231,0.05055296618342253,0.17912601017659383,0.0
232,-0.010552819297618754,-0.04004175903319921,0.0
233,0.07023960716806238,0.2201972780606024,0.0
234,-0.03252372540010237,-0.1436856304798215,0.0
235,-0.02822065505244814,-0.11559288720162432,0.0
236,0.04517117349494948,0.14549533784574867,0.0
237,0.019885236889595426,0.07184487153623403,0.0
238,-0.033911232303311445,-0.14120752503456663,0.0
239,-0.004019140259363396,-0.015767761844949307,0.0
240,-0.010459929592123496,-0.04085176752154017,0.0
241,-0.005988054724745312,-0.024128753531196617,0.0
242,0.0044642254813335724,0.016291202422447044,0.0
243,-0.07282123888722003,-0.3491659674361406,0.0
244,-0.02520077099526552,-0.10444251571460164,0.0
245,0.03353830162626015,0.12159955650539947,0.0
246,-0.01532250118199785,-0.06105145081737347,0.0
247,-0.02364995561602612,-0.10028851752681162,0.0
248,0.03681047270076898,0.12895774153394396,0.0
249,-0.018740602325097222,-0.07961233318556338,0.0
250,-0.04357390129934646,-0.18346351187947327,0.0
251,-0.035528981568414275,-0.15233050847457622,0.0
252,0.027815970496830822,0.09230232993933012,0.0
253,0.017323845248602532,0.05929324396614117,0.0
254,0.005942642596989067,0.022079304916714962,0.0
255,0.03922192539385866,0.13161584242990715,0.0
256,-0.03692423870059652,-0.16194924056834883,0.0
257,0.03433435237172486,0.1249785874858286,0.0
258,0.04062387410062601,0.1393248422858507,0.0
259,0.02562657592378076,0.08917831706245904,0.0
260,-0.017347301510000024,-0.07471295526803651,0.0
261,0.028652191959238016,0.09457288901066718,0.0
262,0.017934130405795834,0.06461733319745527,0.0
263,-0.01259603072065546,-0.053163604151337904,0.0
264,0.006920498190290281,0.02595780006918023,0.0
265,-0.02222869189092555,-0.0916262384344552,0.0
266,0.022110390816310055,0.08645528702169464,0.0
267,0.009152186098654702,0.03518857758620687,0.0
268,0.019450232940895373,0.06910503928244685,0.0
269,-0.0040193151808080585,-0.015168506672228388,0.0
270,0.017673970658103333,0.06199023254179768,0.0
271,0.033814218500987314,0.1200051362862322,0.0
272,-0.02702759618986819,-0.12211305410331921,0.0
273,-0.008794469059983101,-0.03268480130551755,0.0
274,-0.03556464638712539,-0.15391838733871105,0.0
275,-0.03324786363369614,-0.14893281431676866,0.0
276,-0.03404446591259777,-0.1436709039947906,0.0
277,0.038217829020001814,0.12798073000031376,0.0
278,0.006467902737238518,0.023853104390017216,0.0
279,0.021536698267158566,0.08373709256321792,0.0
280,0.06800530114363029,0.2132955112562667,0.0
281,0.0073738806446430605,0.027608603625734286,0.0
282,-0.014666377627349847,-0.05983809912659218,0.0
283,-0.023116998836194336,-0.0986325283677625,0.0
284,0.01695737471483255,0.06105028407795992,0.0
285,-0.022467388487344142,-0.09444108212794286,0.0
286,0.012224689542947031,0.04354142913470715,0.0
287,0.0334155220963501,0.11998190819830404,0.0
288,-0.022096127290913037,-0.08679522854644031,0.0
289,-0.00981057301321775,-0.038197865021559536,0.0
290,-0.014937158691864683,-0.05522576325293881,0.0
291,-0.026089091681557014,-0.10480982718419254,0.0
292,-0.03755030592218411,-0.15123590490817665,0.0
293,-0.010643797166492663,-0.04260074400130437,0.0
294,-0.030602616839805696,-0.1279166909521866,0.0
295,-0.04406259094266976,-0.18413411165993124,0.0
296,-0.02540482282828449,-0.10083201432441877,0.0
297,-0.02205833369087573,-0.09194982977323836,0.0
298,-0.03614749813573692,-0.15474938976051994,0.0
299,0.051783782406356726,0.1632514321334258,0.0
300,0.013633020887550362,0.047930208071539714,0.0
301,0.03878268122570577,0.12829624344867316,0.0
302,-0.0338436640622716,-0.14108322609091534,0.0
303,-0.0018359842664349424,-0.006834519007668918,0.0
304,-0.020790405898828107,-0.0869302008202825,0.0
305,0.021020194308943974,0.08028281030950078,0.0
306,0.03077836426249031,0.10446764301542354,0.0
307,-0.0007820909669555842,-0.003073287039163493,0.0
308,0.10153884825533108,0.30491315289137394,0.0
309,0.027167827183251586,0.10169742452301989,0.0
310,-0.008210314137231778,-0.03248554036265361,0.0
311,0.03724058045326781,0.1319567439112497,0.0
312,-0.007937334315502753,-0.03045250743757777,0.0
313,0.03420053388862465,0.11875904308136474,0.0
314,-0.04638413510960543,-0.18992194957605713,0.0
315,0.034077830107217766,0.1111724990231446,0.0
316,0.03042884132867052,0.10572114337311261,0.0
317,-0.00036288290072067353,-0.0013844815708346414,0.0
318,-0.014955643962443477,-0.05923850928082641,0.0
319,0.029356248740022184,0.10024976229476455,0.0
320,0.056542550632606936,0.1833905445467312,0.0
321,-0.03682890160199409,-0.1612276882550427,0.0
322,0.0356742794457173,0.12688912179879727,0.0
323,-0.0018058315695615446,-0.007046367576624445,0.0
324,-0.049904149250486696,-0.20738755941564788,0.0
325,0.007416557883296038,0.028717995822077808,0.0
326,-0.05545296529420027,-0.24465352926324585,0.0
327,0.015204997832898193,0.05858658976976871,0.0
328,-0.014898376969845195,-0.05977086950997418,0.0
329,0.043222995030316486,0.15637141273669924,0.0
330,-0.040222658235551795,-0.17908049749459048,0.0
331,-0.03608267529349127,-0.15283654274439107,0.0
332,-0.011122006758182257,-0.04386519465427082,0.0
333,-0.05241280935868767,-0.24009125355094446,0.0
334,0.06166658009007811,0.20642076282784041,0.0
335,-0.04290333220642642,-0.20398789053003008,0.0
336,0.02094480180016367,0.07262211556648389,0.0
337,-0.05294436438433775,-0.24390728288932376,0.0
338,0.0257400121633638,0.08871797369312918,0.0
339,-0.060418131501422,-0.27477727940607855,0.0
340,-0.03313225349593729,-0.14183582676350684,0.0
341,0.017118084887234486,0.06219760411408233,0.0
342,-0.03492941120411186,-0.15060418813999132,0.0
343,-0.004394356286325729,-0.017567181890556238,0.0
344,0.0009375821025247588,0.003409024432734562,0.0
345,-0.013133647287487282,-0.05047139016223132,0.0
346,0.043774539414074304,0.1639564479638009,0.0
347,-0.03488372895331046,-0.14683418756502944,0.0
348,0.016074938370075786,0.05967865822179142,0.0
349,-0.01178298139548467,-0.046446868524061664,0.0
350,0.06137744888786584,0.19253697322297741,0.0
351,-0.01855677560945171,-0.0774977341389727,0.0
352,0.013106957473525915,0.04987373199669545,0.0
353,0.028687745283097588,0.0962751287175559,0.0
354,-0.034200541488712655,-0.1412151390501684,0.0
355,0.07216583887896166,0.2298510380042519,0.0
356,-0.06212736633898788,-0.26977188462463825,0.0
357,-0.018248810326277676,-0.0766821038742062,0.0
358,0.05537909659645296,0.1743294638420886,0.0
359,-0.02490642764334372,-0.10249132158741932,0.0
360,0.02492303024697584,0.08595381128209087,0.0
361,0.0007559300250336576,0.002757019319527386,0.0
362,0.03591186991498979,0.12497946582419275,0.0
363,-0.035690259369262095,-0.16349396823097656,0.0
364,0.0036505178780109893,0.014524031937454647,0.0
365,0.04151174469834623,0.14049144428741434,0.0
366,0.03340354567952952,0.11646868583903972,0.0
367,-0.027282056055709963,-0.11943955249586409,0.0
368,-0.028026151670877686,-0.11620355633335373,0.0
369,0.0040691526304705294,0.014568460736343939,0.0
370,-0.016444197820499912,-0.07092723814653358,0.0
371,-0.048873392422662476,-0.2234864740288638,0.0
372,0.002493266497082147,0.010235186621313445,0.0
373,-0.015919323802221913,-0.06897716909848876,0.0
374,0.0377856823502811,0.13210691537384764,0.0
375,-0.01378501401817156,-0.054533770733924056,0.0
376,0.029058820862739365,0.10000643723678268,0.0
377,-0.031473106128236644,-0.13305607926601537,0.0
378,0.01629826656182548,0.05848719199238237,0.0
379,-0.004263632460283384,-0.016407799074686057,0.0
380,-0.040202887807393534,-0.17679156701213558,0.0
381,-0.00034574397000369794,-0.0012946672719408713,0.0
382,-0.04961343227184037,-0.23363161468123697,0.0
383,0.07090713845519056,0.2336364705933617,0.0
384,-0.04697492808110362,-0.2179328630647922,0.0
385,0.01821299393945175,0.06500728126831166,0.0
386,-0.021888201316591277,-0.0923873351688161,0.0
387,0.04310087735362969,0.14716385159052475,0.0
388,-0.03330404647105564,-0.14367599947437823,0.0
389,-0.0020509959293529834,-0.007701421800947958,0.0
390,0.017617921873241044,0.06819172113289769,0.0
391,0.048505373936408414,0.15809158912607185,0.0
392,0.02445551157857906,0.0893984812150279,0.0
393,0.010251716693016277,0.03771409684086452,0.0
394,-0.005570571869080249,-0.022302397844079405,0.0
395,-0.006289439611112335,-0.023079872630578525,0.0
396,-0.034089552266076045,-0.14196948437542808,0.0
397,0.018630466832973702,0.06789492275372296,0.0
398,0.020980993844040452,0.07378505186450118,0.0
399,0.001041988721171283,0.004214686500058875,0.0
400,0.03500828657574728,0.11543272870922076,0.0
401,-0.03833613476255329,-0.16082701354603682,0.0
402,0.01670698905768117,0.06826115382145713,0.0
403,-0.028789494452876457,-0.12526923065255438,0.0
404,-0.041419806404038306,-0.18748199969954543,0.0
405,-0.015124214097802013,-0.062073441133524386,0.0
406,0.08954888726524723,0.28040382073579884,0.0
407,0.05074173876045948,0.1756234046730806,0.0
408,-0.013783581877325618,-0.05696987232157271,0.0
409,-0.01495355029304768,-0.0612988239883665,0.0
410,0.03337170345305329,0.12201529075022609,0.0
411,-0.0179498466869617,-0.06948393848799901,0.0
412,-0.02617121151050253,-0.11591065379619495,0.0
413,0.0326452007365845,0.11239952137668742,0.0
414,-0.050013258622530116,-0.22186382316476796,0.0
415,-0.022018496913025626,-0.08885111107256223,0.0
416,0.03742409000628122,0.12335251418988764,0.0
417,0.0249216359098704,0.08822739915359264,0.0
418,0.01726154706758115,0.06236738569096116,0.0
419,-0.026991220452408343,-0.11533542999891302,0.0
420,-0.011423130141962279,-0.046372634027091096,0.0
421,-0.015084232199662595,-0.0618620916104535,0.0
422,0.03746146922070687,0.13213246651648686,0.0
423,0.07056838931791379,0.22466080045415837,0.0
424,0.004704101097698532,0.01797109334173278,0.0
425,-0.014542767920576793,-0.05738219512057777,0.0
426,0.03271511481545969,0.11612297942484254,0.0
427,0.007373341228152003,0.02922060407958568,0.0
428,-0.01852138894167521,-0.07106646230915609,0.0
429,-0.0029782130491727288,-0.011519302615193091,0.0
430,-0.030110805448850197,-0.11979677512474751,0.0
431,0.08574942947469799,0.2560221288033881,0.0
432,-0.052766099669059485,-0.2333807618483752,0.0
433,0.00971700174548018,0.03586906507153469,0.0
434,0.03856742998469903,0.13588050305288785,0.0
435,0.022237419712582585,0.08188197180989712,0.0
436,-0.03385397580288335,-0.14398235937576667,0.0
437,0.011979802712294707,0.04423623096127742,0.0
438,0.09547146541935192,0.27706136914673296,0.0
439,-0.01127620231123544,-0.04374433936052356,0.0
440,0.004849209609936511,0.018098929261687866,0.0
441,0.012512023715513965,0.04452015334981369,0.0
442,0.001810771343096318,0.006844632231220068,0.0
443,0.01558114547890932,0.056775838817855896,0.0
444,0.02012148709624101,0.06840894130368237,0.0
445,0.004489103262096339,0.01683542868949594,0.0
446,-0.022999533780907327,-0.09275267632907827,0.0
447,0.0016676593210244173,0.005932203389830501,0.0
448,-0.02841146590883664,-0.11357805584081473,0.0
449,-0.025733506470390743,-0.10738062442607903,0.0
450,-0.054267286923608854,-0.2549213298718145,0.0
451,0.025798525798525762,0.09621993127147753,0.0
452,-0.02124893844801251,-0.08447808823821215,0.0
453,0.0010835063146358848,0.004058093902895322,0.0
454,-0.005881774758009661,-0.02284605142847963,0.0
455,-0.006959952109935247,-0.028628374442344486,0.0
456,0.022526333146338284,0.08648040541237915,0.0
457,0.05527811690954276,0.19031879413463518,0.0
458,0.021263460936182477,0.07487646073254,0.0
459,-0.002752776157881831,-0.011164217624924302,0.0
460,0.05429859934390194,0.19022529217050602,0.0
461,-0.026394918156836228,-0.10608243297318942,0.0
462,0.02878938685793081,0.10127308481173297,0.0
463,-0.03466938093907018,-0.14968858989636807,0.0
464,-0.024408078215844953,-0.10549305985770582,0.0
465,-0.020884721074989815,-0.0941620047402337,0.0
466,0.009167139981442862,0.03503339560355198,0.0
467,-0.02032516329429343,-0.08546363843022177,0.0
468,-0.006243409080069762,-0.024700256277719778,0.0
469,-0.014410292068856412,-0.05500929982542031,0.0
470,0.04010921551912733,0.13756571489559194,0.0
471,-0.02469118731991149,-0.10730075513928244,0.0
472,-0.051486334602998646,-0.23112381688236425,0.0
473,-0.022082964615956824,-0.09543901948965249,0.0
474,0.009557961583547936,0.035779689713555156,0.0
475,0.027145650874649707,0.10084853855345652,0.0
476,-0.031559466458311064,-0.14025091137262158,0.0
477,0.0066360599450788205,0.02688622078361996,0.0
478,-0.039756175170657965,-0.16952351540229246,0.0
479,0.03049916600527136,0.10980346615895681,0.0
480,-0.018129403981660963,-0.072082336119161,0.0
481,0.048760703856150195,0.16811372554417148,0.0
482,-0.030266252252004466,-0.1236237501404337,0.0
483,-0.004327972688832782,-0.015963673529464484,0.0
484,0.026206890646748693,0.09171004267143636,0.0
485,0.016792992446103105,0.060913941728422516,0.0
486,-0.01185541832391318,-0.047253511333611393,0.0
487,0.011418934617399401,0.04252436768691866,0.0
488,-0.007778482416163579,-0.029799996824086145,0.0
489,0.01353995211731257,0.05004562800730043,0.0
490,0.00517834548266316,0.02021010010973807,0.0
491,-0.02988979386349061,-0.1261291542983529,0.0
492,-0.01523798998731346,-0.058881959026319715,0.0
493,-0.028790077939872954,-0.1216521920792671,0.0
494,0.03824326014817642,0.12990066050330998,0.0
495,-0.0393372996336874,-0.1753590465598113,0.0
496,0.013294288876687488,0.046969491692428936,0.0
497,-0.02296036645592439,-0.09211032257376693,0.0
498,0.0557629495849985,0.18024387744645978,0.0
499,-0.019238239247828193,-0.07584603873769781,0.0
500,-0.033217833426818916,-0.15471319678244427,0.0
501,-0.03677527412322679,-0.1548554787890926,0.0
502,0.006104368722407494,0.023454005621311242,0.0
503,-0.02394371767784642,-0.10322005655648718,0.0
504,-0.0005705438256757844,-0.002184183594790461,0.0
505,-0.020119119292603127,-0.08197294058887059,0.0
506,-0.012987890304901162,-0.05313371142939541,0.0
507,0.007214705079538919,0.026979990870359082,0.0
508,0.007874427202211043,0.030385916870142263,0.0
509,-0.04302900099158541,-0.1935193184130605,0.0
510,-0.04167387232578543,-0.17555118717237111,0.0
511,-0.0019659915148112495,-0.0075483252197110825,0.0
512,-0.005116179899076034,-0.019688264058679655,0.0
513,-0.01912929127052254,-0.08143402895085619,0.0
514,0.0017394961756375116,0.006454036705357524,0.0
515,-0.0435518360757102,-0.19281636563763588,0.0
516,-0.037378099924330555,-0.1605591757259142,0.0
517,0.006277657423291838,0.02319421799941272,0.0
518,-0.038849528603737915,-0.16826483890758887,0.0
519,0.040781720315642506,0.14336309951893417,0.0
520,0.005289874940211825,0.01953704610506348,0.0
521,-0.023340405197481262,-0.09960314705542066,0.0
522,0.06000569449058038,0.19501850709438623,0.0
523,0.02803908498762936,0.10262305105472344,0.0
524,0.035755195495239284,0.12738035870230874,0.0
525,0.0005382149428651006,0.0020922417062230365,0.0
526,0.029593749272404102,0.1022035493997781,0.0
527,0.06457217948679214,0.2136103214957136,0.0
528,-0.008129389776258988,-0.03322236368183751,0.0
529,-0.03985551681269467,-0.18349479940564625,0.0
530,0.02811097282829439,0.10008110863922874,0.0
531,0.0402613737751743,0.1430417431137196,0.0
532,0.010150017985230964,0.04031515915537351,0.0
533,-0.004459029751514965,-0.016497414761464407,0.0
534,-0.04072223976032632,-0.16788134901192223,0.0
535,0.06515158354020911,0.20477136236818455,0.0
536,0.034880091126520796,0.1140796541773834,0.0
537,0.011724590357680198,0.042361061303327466,0.0
538,0.014607199731995923,0.0549975775144276,0.0
539,0.023685197329685437,0.0803279901129311,0.0
540,0.01758069227398862,0.06309044929833989,0.0
541,-0.03566706005639689,-0.16198980549362285,0.0
542,0.017050100875708657,0.06520084871914514,0.0
543,-0.04096281964332266,-0.18162955816468193,0.0
544,-0.021776184960992956,-0.0887418516011825,0.0
545,0.00709849124352957,0.027408527366192998,0.0
546,-0.025551448704357743,-0.11205374900556885,0.0
547,0.0018962824214382445,0.007507823208140388,0.0
548,0.01433257778160163,0.053640084203327484,0.0
549,0.00023428957716575827,0.0009190939253768882,0.0
550,-0.05670390299823003,-0.25466127864383664,0.0
551,-0.01594078718954181,-0.07130958524683331,0.0
